Child_BIRTHS_ALL_YEAR,MARITAL_STATUS_ALL_YEAR,RESID_STATE,AGE,EMPLOYMENT,EDUC_LEVEL,YEAR,marriage_dummies,treatment,women_LFP,post,post_treatment
0,2,25,8,0,0,1,0,1,0,0,0
2,1,25,11,0,0,1,1,1,0,0,0
0,2,25,6,0,0,1,0,1,0,0,0
0,2,25,3,0,0,1,0,1,0,0,0
0,2,25,0,0,0,1,0,1,0,0,0
0,2,48,1,0,0,1,0,1,0,0,0
0,2,48,11,0,0,1,0,1,0,0,0
0,2,48,2,0,0,1,0,1,0,0,0
0,4,48,9,0,0,1,0,1,0,0,0
3,1,48,14,0,0,1,1,1,0,0,0
0,2,26,2,0,0,1,0,1,0,0,0
0,2,26,16,7,9,1,0,1,0,0,0
0,2,26,14,0,0,1,0,1,0,0,0
3,2,26,13,0,0,1,0,1,0,0,0
0,2,26,4,0,0,1,0,1,0,0,0
2,1,48,7,0,0,1,1,1,0,0,0
0,1,25,15,0,0,1,1,1,0,0,0
1,1,25,13,0,0,1,1,1,0,0,0
0,1,25,10,0,0,1,1,1,0,0,0
0,1,25,9,0,0,1,1,1,0,0,0
0,2,25,7,0,0,1,0,1,0,0,0
0,2,25,4,0,0,1,0,1,0,0,0
0,2,25,4,0,0,1,0,1,0,0,0
0,2,25,5,0,0,1,0,1,0,0,0
0,2,24,14,0,0,1,0,0,0,0,0
0,2,48,7,0,0,1,0,1,0,0,0
2,1,26,15,0,0,1,1,1,0,0,0
0,2,26,2,0,0,1,0,1,0,0,0
0,2,26,2,0,0,1,0,1,0,0,0
3,5,40,11,0,0,1,0,1,0,0,0
